date,Mkt-RF,SMB,HML,RMW,CMA
2010-04-06,0.19,0.35,0.47,-0.25,-0.12
2010-04-07,-0.48,0.20,0.27,-0.09,0.18
2010-04-08,0.31,-0.23,0.35,-0.05,0.22
2010-04-09,0.66,-0.16,0.17,0.24,0.21
2010-04-12,0.23,0.33,0.07,0.01,0.21
2010-04-13,0.07,0.11,-0.06,0.12,0.04
2010-04-14,1.24,1.04,1.43,-1.12,0.52
2010-04-15,0.11,0.54,-0.03,0.19,-0.21
2010-04-16,-1.53,0.49,-1.87,1.04,-0.24
2010-04-19,0.28,-0.89,-0.04,-0.09,0.21
2010-04-20,0.88,0.75,0.59,-0.17,-0.03
2010-04-21,-0.06,0.71,0.19,0.40,-0.17
2010-04-22,0.37,0.85,0.53,-0.09,0.13
2010-04-23,0.70,0.37,0.60,-0.06,0.16
2010-04-26,-0.43,0.38,-0.38,0.75,0.29
2010-04-27,-2.34,-0.05,-1.36,0.47,-0.66
2010-04-28,0.56,-0.59,0.70,-0.57,0.34
2010-04-29,1.34,0.53,0.54,-0.53,0.48
2010-04-30,-1.72,-1.09,-0.86,0.37,-0.54
2010-05-03,1.36,0.76,0.59,-0.21,0.39
2010-05-04,-2.50,-0.63,-0.92,0.26,-0.21
2010-05-05,-0.75,-0.82,-0.60,0.08,-0.46
2010-05-06,-3.27,-0.38,-0.91,0.80,-0.34
2010-05-07,-1.75,-1.34,-0.51,0.22,-0.18
2010-05-10,4.47,1.04,1.23,-0.54,0.19
2010-05-11,-0.17,1.12,-0.16,-0.11,0.03
2010-05-12,1.63,1.45,0.15,0.09,0.21
2010-05-13,-1.12,0.32,-0.33,0.17,-0.18
2010-05-14,-1.91,-0.34,-0.75,0.39,-0.29
2010-05-17,0.11,0.03,-0.59,0.16,0.13
2010-05-18,-1.41,-0.31,-0.96,0.62,-0.30
2010-05-19,-0.63,-0.87,0.04,-0.22,0.17
2010-05-20,-3.99,-1.07,-1.20,0.51,-0.31
2010-05-21,1.43,-0.21,1.57,-0.77,0.12
2010-05-24,-1.19,0.19,-0.89,0.64,-0.07
2010-05-25,-0.03,-0.41,0.56,-0.51,0.16
2010-05-26,-0.35,0.92,0.40,-0.28,0.15
2010-05-27,3.44,0.83,1.63,-0.38,0.72
2010-05-28,-1.18,0.04,-0.69,0.34,-0.04
2010-06-01,-1.89,-1.26,-1.63,0.09,-0.30
2010-06-02,2.63,0.27,0.42,-0.36,0.00
2010-06-03,0.54,0.67,-0.28,0.27,-0.26
2010-06-04,-3.62,-1.29,-0.68,0.10,-0.26
2010-06-07,-1.52,-1.19,-1.00,0.50,-0.67
2010-06-08,0.91,-1.37,0.12,-0.12,0.22
2010-06-09,-0.46,0.73,-0.20,0.44,0.24
2010-06-10,2.95,0.47,0.89,0.12,0.37
2010-06-11,0.61,0.95,0.03,-0.10,0.05
2010-06-14,-0.06,0.62,-0.01,0.22,0.22
2010-06-15,2.36,0.19,0.91,-0.29,0.11
2010-06-16,-0.11,-0.25,-0.32,-0.01,-0.32
2010-06-17,0.08,-0.22,-0.50,-0.21,-0.04
2010-06-18,0.13,0.00,0.22,-0.20,-0.14
2010-06-21,-0.47,-0.55,-0.05,0.20,0.10
2010-06-22,-1.63,-0.47,-0.74,-0.24,-0.30
2010-06-23,-0.29,0.00,0.23,-0.15,0.03
2010-06-24,-1.65,0.00,-0.89,-0.03,-0.20
2010-06-25,0.48,1.22,1.06,-1.19,-0.24
2010-06-28,-0.23,-0.12,-0.77,0.31,0.03
2010-06-29,-3.23,-0.80,-1.28,0.46,-0.24
2010-06-30,-0.98,0.00,-0.33,-0.01,-0.02
2010-07-01,-0.40,-0.37,-0.40,0.47,0.16
2010-07-02,-0.49,-0.33,-0.45,0.12,-0.36
2010-07-06,0.34,-1.94,0.08,0.04,-0.45
2010-07-07,3.17,0.06,0.36,-0.75,0.92
2010-07-08,1.00,0.55,0.03,0.04,0.11
2010-07-09,0.81,0.69,0.58,-0.63,0.50
2010-07-12,-0.11,-1.15,0.07,0.27,-0.15
2010-07-13,1.77,1.62,0.58,-0.69,0.93
2010-07-14,-0.04,-0.20,-0.83,0.50,-0.33
2010-07-15,0.02,-0.86,-0.16,0.31,-0.08
2010-07-16,-2.94,-0.61,-0.96,0.97,-0.71
2010-07-19,0.54,-0.21,-0.18,0.04,0.20
2010-07-20,1.23,0.60,0.03,-0.04,0.53
2010-07-21,-1.30,-0.41,-0.36,0.31,-0.05
2010-07-22,2.37,1.24,0.59,-0.74,0.75
2010-07-23,1.05,1.40,-0.33,-0.28,0.50
2010-07-26,1.23,0.90,0.15,-0.52,0.25
2010-07-27,-0.23,-0.29,0.31,0.43,-0.34
2010-07-28,-0.83,-0.87,0.04,0.38,-0.26
2010-07-29,-0.36,0.38,0.67,-0.14,-0.10
2010-07-30,0.06,0.06,-0.22,-0.05,0.06
2010-08-02,2.09,-0.51,0.08,-0.31,0.40
2010-08-03,-0.55,-0.37,-0.47,0.17,-0.63
2010-08-04,0.74,0.37,-0.09,-0.27,0.20
2010-08-05,-0.22,-0.87,0.12,0.02,0.14
2010-08-06,-0.36,-0.19,-0.31,0.09,-0.22
2010-08-09,0.62,0.61,0.18,-0.15,0.01
2010-08-10,-0.78,-1.26,-0.19,0.37,-0.27
2010-08-11,-2.91,-1.08,-0.62,1.01,-0.58
2010-08-12,-0.50,0.03,-0.08,0.55,-0.17
2010-08-13,-0.46,-0.78,0.27,-0.18,0.03
2010-08-16,0.10,0.88,-0.20,-0.11,0.07
2010-08-17,1.31,0.48,-0.18,-0.25,0.15
2010-08-18,0.21,0.09,0.04,0.04,0.33
2010-08-19,-1.74,-0.88,-0.40,0.37,-0.41
2010-08-20,-0.28,0.25,-0.25,-0.15,-0.18
2010-08-23,-0.50,-0.91,-0.40,0.24,-0.40
2010-08-24,-1.48,0.18,0.22,0.14,-0.09
2010-08-25,0.45,1.02,0.01,-0.20,0.01
2010-08-26,-0.76,-0.11,-0.22,0.15,-0.17
2010-08-27,1.82,0.94,0.35,-0.89,0.22
2010-08-30,-1.54,-0.85,-0.40,0.32,-0.34
2010-08-31,0.01,-0.19,0.78,-0.44,0.28
2010-09-01,3.05,0.70,0.45,-0.32,0.43
2010-09-02,0.97,0.23,-0.37,-0.14,0.54
2010-09-03,1.35,0.37,0.17,-0.23,0.15
2010-09-07,-1.23,-0.87,-0.75,0.45,-0.50
2010-09-08,0.65,0.07,0.11,-0.33,-0.02
2010-09-09,0.44,-0.40,0.50,-0.01,0.03
2010-09-10,0.45,-0.09,-0.11,0.17,-0.01
2010-09-13,1.30,1.17,0.15,-0.37,0.30
2010-09-14,-0.06,-0.30,-0.50,0.22,-0.14
2010-09-15,0.36,0.11,-0.19,0.21,-0.28
2010-09-16,-0.07,-0.54,-0.69,0.22,-0.24
2010-09-17,0.15,0.54,-0.49,0.18,-0.22
2010-09-20,1.60,1.16,0.18,-0.25,0.30
2010-09-21,-0.31,-0.34,-0.26,0.06,-0.28
2010-09-22,-0.52,-0.59,-0.58,0.62,-0.21
2010-09-23,-0.78,-0.17,-0.66,0.25,-0.18
2010-09-24,2.19,0.96,0.55,-0.68,0.53
2010-09-27,-0.46,0.17,-0.46,0.15,-0.09
2010-09-28,0.57,0.51,0.15,-0.23,0.19
2010-09-29,-0.17,0.63,-0.20,-0.10,0.07
2010-09-30,-0.26,0.10,0.33,-0.10,0.00
2010-10-01,0.43,0.05,0.16,0.11,0.29
2010-10-04,-0.88,-0.71,-0.10,0.03,0.01
2010-10-05,2.11,0.78,0.18,-0.20,0.12
2010-10-06,-0.11,-0.36,0.42,0.21,0.22
2010-10-07,-0.16,0.06,-0.26,0.02,0.02
2010-10-08,0.74,0.85,-0.15,-0.30,0.41
2010-10-11,0.04,0.08,-0.25,0.35,0.04
2010-10-12,0.39,0.00,0.19,-0.19,-0.02
2010-10-13,0.78,0.82,-0.26,-0.06,-0.07
2010-10-14,-0.38,0.27,-0.32,0.23,-0.16
2010-10-15,0.18,-0.22,-1.13,0.59,-0.65
2010-10-18,0.69,0.15,0.85,-0.25,0.19
2010-10-19,-1.67,-0.73,0.24,0.25,-0.18
2010-10-20,1.06,0.04,0.07,0.23,0.23
2010-10-21,0.11,-0.58,-0.48,0.44,-0.21
2010-10-22,0.29,0.42,-0.40,-0.25,-0.25
2010-10-25,0.31,0.41,-0.45,-0.04,-0.07
2010-10-26,0.02,0.00,-0.22,0.30,-0.14
2010-10-27,-0.24,-0.26,-0.28,-0.45,-0.09
2010-10-28,0.08,-0.61,-0.08,0.10,-0.22
2010-10-29,0.07,0.32,-0.13,0.09,0.19
2010-11-01,-0.01,-0.66,-0.19,0.28,0.01
2010-11-02,0.90,1.25,-0.15,0.09,0.07
2010-11-03,0.38,-0.05,0.15,-0.20,0.10
2010-11-04,1.94,0.53,0.93,-0.78,0.91
2010-11-05,0.41,-0.02,0.55,-0.32,0.49
2010-11-08,-0.12,0.42,-0.46,0.24,-0.16
2010-11-09,-0.78,-0.47,-0.47,0.69,-0.19
2010-11-10,0.53,0.65,0.56,-0.43,0.38
2010-11-11,-0.35,-0.07,-0.12,0.16,0.23
2010-11-12,-1.29,-0.46,-0.06,0.16,-0.06
2010-11-15,-0.09,0.23,0.26,-0.03,0.16
2010-11-16,-1.57,-0.34,-0.11,0.34,-0.14
2010-11-17,0.07,0.32,-0.26,0.19,0.22
2010-11-18,1.58,0.31,-0.30,-0.27,-0.04
2010-11-19,0.31,0.15,-0.19,-0.11,0.15
2010-11-22,-0.02,0.50,-0.90,0.15,-0.28
2010-11-23,-1.38,0.50,-0.24,0.38,-0.38
2010-11-24,1.60,0.63,0.05,-0.38,0.24
2010-11-26,-0.67,0.27,-0.33,0.21,-0.11
2010-11-29,-0.13,0.07,0.39,-0.12,0.13
2010-11-30,-0.60,-0.21,0.05,-0.02,0.06
2010-12-01,2.12,-0.11,0.02,-0.41,0.42
2010-12-02,1.23,-0.24,0.58,-0.44,0.73
2010-12-03,0.35,0.38,0.04,-0.08,0.27
2010-12-06,-0.03,0.76,-0.09,-0.09,0.15
2010-12-07,0.10,0.34,0.12,-0.03,-0.08
2010-12-08,0.32,-0.44,0.61,-0.33,0.16
2010-12-09,0.42,0.04,0.59,-0.36,0.49
2010-12-10,0.67,0.47,0.18,-0.18,0.19
2010-12-13,-0.08,-0.57,0.04,-0.17,-0.05
2010-12-14,0.09,-0.07,-0.05,0.36,-0.08
2010-12-15,-0.49,0.15,-0.54,0.19,-0.10
2010-12-16,0.70,0.41,-0.08,-0.25,0.02
2010-12-17,0.15,0.14,-0.12,-0.33,0.25
2010-12-20,0.23,0.05,0.30,-0.28,0.20
2010-12-21,0.68,0.40,0.70,-0.56,0.30
2010-12-22,0.29,-0.30,0.72,-0.23,0.21
2010-12-23,-0.16,0.05,-0.32,0.21,-0.18
2010-12-27,0.08,0.27,0.43,-0.35,0.16
2010-12-28,0.00,-0.43,0.19,-0.01,-0.14
2010-12-29,0.17,0.09,-0.12,0.04,-0.07
2010-12-30,-0.11,0.13,-0.04,0.20,0.03
2010-12-31,-0.10,-0.60,0.22,-0.14,0.13
2011-01-03,1.18,0.57,0.72,-0.43,0.18
2011-01-04,-0.26,-1.30,-0.02,0.01,0.02
2011-01-05,0.60,0.62,0.12,-0.44,0.04
2011-01-06,-0.15,-0.12,-0.33,-0.11,-0.11
2011-01-07,-0.21,-0.26,-0.21,0.18,-0.15
2011-01-10,-0.02,0.47,-0.14,-0.41,0.08
2011-01-11,0.39,0.11,0.19,-0.26,0.09
2011-01-12,0.87,-0.03,0.21,-0.35,0.32
2011-01-13,-0.18,0.13,-0.33,0.52,0.10
2011-01-14,0.69,0.04,0.60,-0.71,0.14
2011-01-18,0.18,-0.01,-0.53,0.38,-0.13
2011-01-19,-1.24,-1.35,-0.49,0.92,-0.45
2011-01-20,-0.29,-0.93,0.58,0.61,0.34
2011-01-21,0.11,-0.84,0.56,-0.13,0.33
2011-01-24,0.66,0.19,-0.23,-0.18,0.35
2011-01-25,0.02,0.01,0.13,0.34,-0.12
2011-01-26,0.60,1.35,-0.22,-0.24,0.11
2011-01-27,0.27,-0.05,0.36,-0.15,0.03
2011-01-28,-1.88,-0.81,-0.07,0.10,-0.37
2011-01-31,0.72,0.02,-0.29,-0.33,0.07
2011-02-01,1.75,0.55,0.50,-0.30,0.16
2011-02-02,-0.26,-0.10,-0.37,-0.07,-0.04
2011-02-03,0.26,-0.01,-0.03,0.12,0.31
2011-02-04,0.29,-0.05,-0.43,-0.22,-0.03
2011-02-07,0.70,0.31,0.56,-0.32,0.23
2011-02-08,0.48,0.23,-0.02,0.09,0.10
2011-02-09,-0.31,-0.20,-0.04,0.32,-0.12
2011-02-10,0.12,0.32,-0.35,-0.16,0.08
2011-02-11,0.67,0.39,0.45,-0.37,0.38
2011-02-14,0.30,0.25,-0.14,-0.10,-0.07
2011-02-15,-0.38,-0.30,0.25,0.15,-0.11
2011-02-16,0.68,0.39,0.18,-0.15,0.28
2011-02-17,0.37,0.34,0.22,-0.43,0.31
2011-02-18,0.12,-0.09,0.05,0.17,-0.02
2011-02-22,-2.19,-0.51,-0.22,0.74,-0.55
2011-02-23,-0.78,-1.07,0.39,-0.12,-0.19
2011-02-24,0.04,0.64,-0.36,-0.23,-0.16
2011-02-25,1.22,0.97,0.24,-0.72,0.47
2011-02-28,0.42,-0.41,0.28,-0.22,-0.19
2011-03-01,-1.58,-0.29,-0.05,0.42,-0.46
2011-03-02,0.28,0.27,-0.25,-0.04,0.21
2011-03-03,1.76,0.46,-0.05,-0.32,0.11
2011-03-04,-0.67,0.25,-0.53,0.18,-0.21
2011-03-07,-0.96,-0.65,0.09,0.36,-0.24
2011-03-08,0.97,0.53,0.63,-0.06,0.31
2011-03-09,-0.18,-0.21,0.32,0.50,-0.26
2011-03-10,-1.93,-0.72,-0.30,0.67,-0.57
2011-03-11,0.69,-0.32,0.13,-0.32,0.22
2011-03-14,-0.59,0.08,-0.39,0.16,-0.03
2011-03-15,-1.05,0.27,-0.14,0.34,0.00
2011-03-16,-1.77,0.63,-0.11,-0.04,0.19
2011-03-17,1.12,-0.76,0.57,-0.29,0.15
2011-03-18,0.49,0.60,0.09,0.06,0.32
2011-03-21,1.58,0.85,-0.17,-0.39,0.00
2011-03-22,-0.34,-0.07,-0.05,0.14,-0.23
2011-03-23,0.31,0.13,-0.47,0.08,0.09
2011-03-24,0.96,-0.19,-0.40,-0.26,0.34
2011-03-25,0.41,0.46,-0.02,0.11,0.03
2011-03-28,-0.35,0.07,-0.26,0.35,-0.16
2011-03-29,0.73,0.21,-0.23,-0.17,0.16
2011-03-30,0.79,0.45,0.07,0.03,0.08
2011-03-31,-0.11,0.56,-0.28,0.15,-0.07
2011-04-01,0.52,-0.08,0.21,0.13,0.08
2011-04-04,0.09,0.24,-0.15,0.16,-0.06
2011-04-05,0.08,0.48,-0.26,0.11,0.30
2011-04-06,0.20,-0.14,0.57,-0.15,0.19
2011-04-07,-0.20,-0.21,-0.20,0.23,-0.14
2011-04-08,-0.47,-0.53,-0.25,0.09,-0.21
2011-04-11,-0.39,-0.61,-0.08,0.42,-0.25
2011-04-12,-0.84,-0.65,0.06,0.51,-0.17
2011-04-13,0.11,0.07,-0.69,-0.06,-0.15
2011-04-14,0.00,0.32,-0.23,-0.03,-0.18
2011-04-15,0.44,0.51,-0.08,-0.02,0.29
2011-04-18,-1.15,-0.39,-0.28,0.27,-0.31
2011-04-19,0.51,-0.35,-0.25,0.02,0.23
2011-04-20,1.46,0.49,-0.51,-0.38,0.06
2011-04-21,0.56,0.32,-0.06,-0.04,0.08
2011-04-25,-0.15,-0.04,-0.04,0.07,-0.28
2011-04-26,0.89,0.06,-0.03,-0.26,0.43
2011-04-27,0.66,-0.07,-0.25,0.19,-0.34
2011-04-28,0.32,-0.09,0.16,0.01,-0.23
2011-04-29,0.29,0.20,-0.03,-0.22,-0.16
2011-05-02,-0.28,-0.90,-0.16,0.47,-0.30
2011-05-03,-0.50,-0.92,0.33,0.55,-0.02
2011-05-04,-0.74,-0.57,-0.07,0.55,-0.32
2011-05-05,-0.82,0.46,-0.34,0.26,0.22
2011-05-06,0.45,0.07,-0.13,-0.25,-0.10
2011-05-09,0.55,0.66,-0.48,-0.01,-0.04
2011-05-10,0.86,0.68,0.28,0.03,-0.07
2011-05-11,-1.09,-0.64,-0.38,0.67,-0.42
2011-05-12,0.52,0.30,-0.40,0.05,-0.08
2011-05-13,-0.88,-0.48,-0.27,0.25,-0.20
2011-05-16,-0.77,-0.97,0.43,0.17,0.05
2011-05-17,-0.11,-0.37,0.07,0.06,-0.28
2011-05-18,1.02,0.62,-0.29,-0.34,0.24
2011-05-19,0.22,-0.02,-0.07,0.15,-0.08
2011-05-20,-0.73,0.03,-0.15,-0.22,0.00
2011-05-23,-1.29,-0.52,0.02,0.31,-0.30
2011-05-24,-0.15,-0.27,-0.03,0.11,-0.01
2011-05-25,0.45,0.99,-0.34,-0.45,0.17
2011-05-26,0.52,0.67,-0.12,-0.07,0.02
2011-05-27,0.49,0.20,0.23,-0.17,0.14
2011-05-31,1.04,0.38,-0.04,-0.19,-0.02
2011-06-01,-2.33,-0.74,-0.25,0.60,-0.67
2011-06-02,-0.10,-0.04,0.14,-0.46,-0.08
2011-06-03,-1.10,-0.49,0.12,0.16,-0.06
2011-06-06,-1.18,-0.36,-0.26,0.51,-0.21
2011-06-07,-0.05,0.32,-0.14,-0.08,-0.02
2011-06-08,-0.54,-0.66,0.07,0.57,-0.38
2011-06-09,0.75,0.00,-0.03,0.06,0.15
2011-06-10,-1.37,-0.18,0.38,-0.05,-0.12
2011-06-13,0.01,-0.43,0.35,0.33,-0.47
2011-06-14,1.36,0.96,-0.36,0.15,0.30
2011-06-15,-1.71,-0.04,-0.13,0.34,-0.27
2011-06-16,0.13,-0.01,0.53,0.37,-0.13
2011-06-17,0.25,-0.37,0.66,-0.02,0.17
2011-06-20,0.58,0.35,-0.05,0.16,-0.01
2011-06-21,1.52,0.94,-0.40,-0.29,0.17
2011-06-22,-0.62,-0.12,0.02,-0.09,0.12
2011-06-23,-0.14,0.59,-0.77,0.23,-0.06
2011-06-24,-1.11,0.48,0.11,0.13,-0.26
2011-06-27,0.89,0.10,-0.03,0.19,-0.29
2011-06-28,1.36,0.38,-0.46,-0.15,-0.04
2011-06-29,0.77,-0.62,0.63,-0.39,0.42
2011-06-30,0.99,0.09,-0.28,0.04,0.35
2011-07-01,1.45,-0.01,0.14,0.04,0.16
2011-07-05,-0.07,0.20,-0.85,0.43,-0.52
2011-07-06,0.17,0.36,-0.58,0.29,-0.01
2011-07-07,1.10,0.47,0.16,-0.18,-0.33
2011-07-08,-0.67,0.00,-0.42,0.33,-0.12
2011-07-11,-1.90,-0.13,-0.33,0.78,0.03
2011-07-12,-0.45,0.05,0.41,0.12,0.23
2011-07-13,0.45,0.55,-0.14,-0.20,-0.14
2011-07-14,-0.81,-0.78,0.12,0.29,0.16
2011-07-15,0.57,0.07,-0.50,0.11,-0.63
2011-07-18,-0.94,-0.55,-0.42,0.63,-0.38
2011-07-19,1.71,0.55,-0.65,0.16,-0.34
2011-07-20,-0.10,-0.22,0.79,-0.06,0.44
2011-07-21,1.29,-0.30,1.10,-0.47,0.30
2011-07-22,0.10,-0.13,-0.69,-0.10,-0.60
2011-07-25,-0.68,-0.55,0.15,0.26,-0.13
2011-07-26,-0.47,-0.32,0.32,0.07,-0.17
2011-07-27,-2.15,-0.72,0.40,0.59,0.37
2011-07-28,-0.31,0.11,0.01,-0.15,-0.36
2011-07-29,-0.57,0.25,0.07,-0.19,0.23
2011-08-01,-0.40,-0.12,0.15,0.02,-0.06
2011-08-02,-2.68,-0.44,0.18,0.18,-0.21
2011-08-03,0.59,0.20,-0.37,0.16,-0.24
2011-08-04,-5.03,-0.76,0.37,0.96,0.03
2011-08-05,-0.36,-1.15,-0.62,1.20,0.12
2011-08-08,-6.96,-1.51,-1.62,1.79,-0.39
2011-08-09,4.97,0.93,0.73,-1.80,-0.02
2011-08-10,-4.30,-0.58,-1.61,1.49,-0.44
2011-08-11,4.72,0.31,0.80,-0.84,-0.06
2011-08-12,0.54,-0.33,-1.51,0.58,-0.32
2011-08-15,2.25,0.46,1.02,-1.16,0.29
2011-08-16,-1.07,-0.80,-0.14,0.66,0.35
2011-08-17,-0.01,-0.25,0.65,-0.02,0.43
2011-08-18,-4.64,-0.94,0.54,0.90,0.47
2011-08-19,-1.54,0.11,-0.36,0.22,0.08
2011-08-22,-0.03,0.04,-0.90,0.60,-0.03
2011-08-23,3.60,1.16,-0.79,-0.18,-0.64
2011-08-24,1.35,-0.07,1.00,-0.47,0.55
2011-08-25,-1.67,-0.91,0.49,-0.09,0.05
2011-08-26,1.74,0.79,-1.00,0.07,-0.52
2011-08-29,3.11,1.52,0.93,-1.27,0.37
2011-08-30,0.32,0.26,-0.78,0.27,-0.06
2011-08-31,0.42,-0.74,0.48,-0.13,-0.06
2011-09-01,-1.33,-1.08,-0.78,0.61,-0.17
2011-09-02,-2.64,-0.82,-0.75,0.62,-0.07
2011-09-06,-0.72,0.38,-0.64,0.22,-0.13
2011-09-07,3.06,0.90,1.03,-1.29,0.10
2011-09-08,-1.18,-0.79,-0.61,0.44,-0.20
2011-09-09,-2.65,-0.19,-0.04,0.25,-0.01
2011-09-12,0.68,0.00,0.37,-0.47,-0.16
2011-09-13,1.12,0.73,-0.37,-0.17,-0.06
2011-09-14,1.45,0.36,-0.38,-0.08,-0.22
2011-09-15,1.64,-0.52,0.57,-0.34,0.09
2011-09-16,0.47,-0.39,-0.33,0.22,-0.11
2011-09-19,-0.99,-0.54,-1.25,1.12,-0.27
2011-09-20,-0.45,-1.43,0.20,0.23,0.22
2011-09-21,-2.92,-0.45,-1.24,0.51,-0.36
2011-09-22,-3.29,0.17,0.45,0.55,0.52
2011-09-23,0.74,0.70,-0.02,-0.23,0.17
2011-09-26,2.28,-0.54,1.28,-0.61,0.06
2011-09-27,1.22,1.00,-0.63,-0.01,-0.19
2011-09-28,-2.29,-1.67,-0.24,0.75,0.01
2011-09-29,0.77,0.65,2.11,-0.85,0.77
2011-09-30,-2.50,-0.15,-0.21,0.47,0.16
2011-10-03,-3.18,-1.99,-0.58,1.10,0.03
2011-10-04,2.68,3.61,0.44,-0.89,-0.22
2011-10-05,1.92,-0.29,-0.45,-0.63,-0.37
2011-10-06,1.94,0.23,0.60,-0.42,0.15
2011-10-07,-0.97,-1.32,-1.47,1.39,0.00
2011-10-10,3.44,0.54,0.62,-0.53,-0.20
2011-10-11,0.15,0.63,-0.12,-0.01,-0.22
2011-10-12,1.07,0.50,0.94,-0.69,0.20
2011-10-13,-0.21,0.17,-1.26,0.36,-0.31
2011-10-14,1.72,0.16,-0.33,-0.02,-0.57
2011-10-17,-2.06,-1.29,-0.50,0.65,-0.04
2011-10-18,2.11,0.70,1.67,-1.48,0.41
2011-10-19,-1.38,-0.73,0.32,0.33,0.53
2011-10-20,0.42,-0.22,0.75,-0.24,0.21
2011-10-21,1.92,0.16,0.08,-0.24,0.02
2011-10-24,1.58,1.71,-0.35,-0.45,-0.52
2011-10-25,-2.13,-0.85,-0.32,0.76,0.04
2011-10-26,1.12,0.70,0.76,-0.68,0.32
2011-10-27,3.54,1.45,0.91,-1.60,-0.10
2011-10-28,-0.02,-0.52,-0.54,-0.15,-0.26
2011-10-31,-2.50,0.02,-0.87,1.08,0.18
2011-11-01,-2.86,-0.56,-1.13,0.98,0.00
2011-11-02,1.73,0.77,0.94,-0.63,-0.05
2011-11-03,1.97,0.59,-0.14,-0.07,-0.05
2011-11-04,-0.53,-0.04,-0.62,0.11,-0.02
2011-11-07,0.48,-0.67,0.39,0.24,0.38
2011-11-08,1.22,0.03,0.51,-0.19,-0.05
2011-11-09,-3.78,-0.81,-0.69,1.03,0.28
2011-11-10,0.83,0.07,0.54,0.12,0.49
2011-11-11,1.98,0.51,-0.18,-0.06,-0.17
2011-11-14,-0.92,-0.48,-0.87,0.45,-0.24
2011-11-15,0.56,0.85,-0.25,0.13,-0.20
2011-11-16,-1.64,-0.17,-0.16,0.11,0.08
